,Currency Pair 1,Currency Pair 2,alpha,r-squared,Treynor Ratio,Info Ratio
31,KRWUSD=X,NZDUSD=X,0.12457443721769257,0.7324926362302824,0.0010205721008250458,6.029598841536715
180,CADUSD=X,HKDUSD=X,0.1240493556920951,0.05253009325686819,23.891280419474906,207.62565958005678
168,CNYUSD=X,HKDUSD=X,0.12399393884888466,0.08063971161804495,4.551699350473738,210.6268450240295
96,SEKUSD=X,HKDUSD=X,0.12346820249926929,0.42094161001640795,2.886549650867337,264.3401736657627
131,KRWUSD=X,HKDUSD=X,0.12313661957433115,0.2767074219277378,0.0211809763167006,235.88452332318096
175,NOKUSD=X,BRLUSD=X,0.12297931544684633,0.0652929470389394,0.26595740512572286,4.65775108404161
128,GBPUSD=X,HKDUSD=X,0.12173448646733785,0.29146118405258625,25.701042227394403,235.61396569763875
91,DKKUSD=X,HKDUSD=X,0.12000824396379035,0.45537629591653794,2.3628773575980735,264.9305467878206
185,CHFUSD=X,CNYUSD=X,0.1193621335214794,0.03442506427790892,5.652713228205983,19.61313944291505
220,CHFUSD=X,ZARUSD=X,0.11889420913573337,0.13555555540487452,-1.196160176141232,20.26949308003657
197,BRLUSD=X,SEKUSD=X,0.1108698781083517,0.007226990622881457,-3.7638112972740214,12.403161424422677
141,SGDUSD=X,CADUSD=X,0.11085623752969209,0.2169301551958901,0.859720213316593,4.775844088645932
60,EURUSD=X,AUDUSD=X,0.10853757783872775,0.5773913937901609,1.3212791717675652,4.237190865596748
155,INRUSD=X,CNYUSD=X,0.1083691773325089,0.1298023409525707,0.050220668816274905,18.757301370916583
107,TWDUSD=X,MYRUSD=X,0.10230785657805078,0.351485506801536,0.05977930421092261,12.227360470275876
89,GBPUSD=X,MYRUSD=X,0.09777989039620372,0.4608317688324328,2.2061067191083072,12.826092167485722
81,NOKUSD=X,CNYUSD=X,0.09540494656660908,0.48929447543387006,0.3056120353527806,21.555552043966838
227,TWDUSD=X,MXNUSD=X,0.0930367342936875,0.2659803501151804,-0.04051584217284669,28.348770339409796
112,KRWUSD=X,CNYUSD=X,0.09120689999882778,0.3398713988783386,0.0021745691900285405,18.125373102756242
221,MYRUSD=X,MXNUSD=X,0.08767540303149117,0.18243640960648744,-0.3227564701263142,25.30509167377549
24,THBUSD=X,MYRUSD=X,0.0854489088569908,0.7582923914884379,0.04821380678042339,16.728035191946674
4,KRWUSD=X,MYRUSD=X,0.08526205536845269,0.8539853069746327,0.0013000808759906532,21.47539154257428
74,NOKUSD=X,DKKUSD=X,0.08358961225854394,0.5284820729915896,0.24283706302940505,15.937147166605163
67,DKKUSD=X,MYRUSD=X,0.08316509885250159,0.5476412840870577,0.23255497555325264,11.909858027571229
76,LKRUSD=X,NOKUSD=X,0.08242549707365568,0.5146545059895542,0.01950580795737263,13.147896445762235
218,CNYUSD=X,MXNUSD=X,0.08167014058840638,0.11512423042456588,-0.24248471530552718,22.687842194031948
101,CNYUSD=X,MYRUSD=X,0.08069831588144077,0.38579345246692687,0.22458139801751678,9.917774012710906
204,MXNUSD=X,ZARUSD=X,0.07743912563840749,0.030112904788143213,-0.21975894717159372,12.46380309336411
187,CHFUSD=X,SEKUSD=X,0.07572679786550798,0.018453330456035366,3.8103310030371143,8.519967196633015
217,KRWUSD=X,MXNUSD=X,0.07073107240845602,0.11253793182420957,-0.002111788205496632,19.60058141368316
229,JPYUSD=X,MXNUSD=X,0.07038753921129567,0.3443790806003483,-0.022100017984161918,22.723904571850294
78,MYRUSD=X,AUDUSD=X,0.06848154568598752,0.5053433135378216,0.2592136937117067,2.470252510255374
209,AUDUSD=X,MXNUSD=X,0.06716070447855245,0.05776530842878691,-2.178676599027201,18.086280984084414
212,NZDUSD=X,MXNUSD=X,0.06707604803070864,0.06728271384559625,-2.04651193364347,18.155408705083104
40,NZDUSD=X,CNYUSD=X,0.0628085180289778,0.6916867597218397,1.140986779932905,18.26400399881876
69,GBPUSD=X,CNYUSD=X,0.059802836286220615,0.5328430008687679,2.163190384686362,14.127453513424928
71,THBUSD=X,DKKUSD=X,0.05852382618815706,0.5316822247342805,0.050206318301770754,11.196177312493635
222,LKRUSD=X,MXNUSD=X,0.05740379361740283,0.19731472665644778,-0.03508492154745456,16.748716155670085
25,KRWUSD=X,DKKUSD=X,0.047270725538968605,0.7528058665953175,0.0012067892036858908,12.447455011391819
57,JPYUSD=X,NOKUSD=X,0.04677913641230848,0.5978443523815079,0.015060469702420443,8.19738466568251
59,AUDUSD=X,DKKUSD=X,0.04515314149267788,0.5959973784591324,1.0012927174885482,9.300434888927096
109,CNYUSD=X,DKKUSD=X,0.04260710821007843,0.34927665216375925,0.2055132799798887,6.912495809416294
77,ZARUSD=X,SEKUSD=X,0.04117750882720771,0.5110463181219187,0.10339694102243012,6.564021807405629
158,BRLUSD=X,MXNUSD=X,0.04065901617520471,0.12383861002515051,1.029650424484252,11.33961791284359
139,BRLUSD=X,ZARUSD=X,0.040239347929572816,0.22602424997494208,0.5726338073309115,7.249999666371962
215,MXNUSD=X,THBUSD=X,0.03845837719427754,0.10077160246951511,-0.1978656586568461,21.73496506874033
203,CHFUSD=X,THBUSD=X,0.037767082468509676,0.02539132917425535,-4.545929592125636,20.50048605550544
